english,mandarin,pinyin
A knowledge of economics is fundamental to any understanding of this problem.,???????????????????,jing jì zhi shi duì yú li jie zhè gè wèn tí shì zhì guan zhòng yào de?
A line of pink on the eastern horizon told me that daybreak was near.,???????????????????????,dong bian de píng xiàn shàng de yi dào dàn hóng guang xiàn shi wo zhi dào tian kuài yào liàng le?
A lion has tawny mane.,??????????,shi zi zhang zhuó huáng hè sè zong máo?
A literal translation is not always the closest to the original meaning.,?????????????,zhú zì fan yì bù yi dìng zuì jie jìn yuán yì?
A minister in the new government crossed swords with a member of the Opposition on the first day after Parliament opened.,????????,????????????????????????,yì huì kai huì de dì yi tian, xin zhèng fu zhòng dì yi wèi bù zhang jiù huò fan duì dang de yi wèi yì yuán zheng lùn qi lai?
A mouse ran out from the dark orifice of the cave.,?????????????,yi zhi lao shu zòng hei àn de Dòng kou pao chu?
A multitude of people gathered at the gate of the exhibition hall.,??????????????,dà qún rén jù jí zài zhan lan dà ting de mén kou?
A new difficulty has arisen.,??????.,chu xiàn le xin kùn nan?
A new factory was established near my home.,????????????,wo jia fù jìn Xin jiàn le yi jia gong chang?
A new system of taxation will be brought into effect next year.,?????????????,xin de shuì shou zhì dù jiàng yú míng nián shí xíng?
A normative grammar of a language describes how its authors think the language should be spoken or written,????????????????????????????????.,gui fàn yu fa chan shù de shì gai pài yu fa xué jia rèn wéi de mou yu yán de kou yu huò shu miàn yu de biao zhun xíng shì?
A number of (ie some) problems have arisen,?????????.,yi jing chu xiàn le yi xie wèn tí?
A nurse came to put on a clean dressing for him.,???????????????,yi wèi hù shi lái ji ta bao shàng gan jìng de beng dài?
A pendulum oscillates,?????.,bai chuí néng bai dòng?
A pig is a domestic animal.,???????,zhu shì yi zhòng jia chù?
A plantain is similar to a banana.,????????,dà jiao lèi sì yú xiang jiao?
A portiere was hanging in front of the door.,?????????,mén qián guà zhuó yi fú mén lián?
A rest in the shade will cool you down.,????????????,zài yin liáng chù xiu xi kuài shi ni liáng shuang?
A rumor went forth that the price of eggs would be raised soon.,??????????,yáo chuán jìn qi ji dàn yào zhàng jià?
A sick person is often feeble.,?????????,bìng rén cháng cháng xu ruò wú lì?
A sire should be respected.,????????,fù bèi ying dang bèi zun zhòng?
A smile often denotes pleasure and friendship.,????????????,wei xiào cháng cháng biao shì gao xìng huò you shàn?
A square has four sides but a circle has no sides.,???????,???????,zhèng fang xíng you sì tiáo bian, ér yuán xíng méi you bian?
A student should always be curious to learn.,???????????????,xué sheng ying gai shi zhong jù you qiáng liè de qiú zhi yù?
A sudden shift in the wind warned of the coming storm.,??????????????????,feng xiàng de tu rán zhuan biàn yù shì zhuó bào feng yu jí jiang lái lín?
A teacher can't give individual attention to each pupil if his class is large.,????????,?????????????,rú guo ban shàng de rén shù duo, lao shi jiù bù néng gei yu gè bié fu dao le?
A theatre evening (ie an evening at the theatre) has been arranged,??????????.,yi an pái hào yi gè xì jù wan huì?
A vibrating membrane in the ear helps to convey sounds to the brain.,???????????????,er mó de zhèn dòng bang zhù sheng yin chuán sòng dào dà nao?
A waiter brought him a watery coffee.,??????????????,yi gè shì zhe ji ta duan lái yi bei xi ka fei?
"A wind arose, and rain drops began falling all at once.","???, ????????","qi feng le,  yu dian hu rán luò xià lái?"
A young student fainted in the hot sun.,?????????????????,you gè nián yòu de xué sheng zài yán yán liè rì xià yùn dào le?
"According to the result of the dissection, the man died from heart attack.",??????,??????????,gen jù jie pou jié guo, ci rén si yú xin zàng bìng fa zuò?
Add this numbers together and give me the total.,????????,?????????,ba zhè xie shù zì jia qi lai, gào su wo zong shù shì duo shao?
Africa is a mysterious land to him.,????,???????????,duì ta lái shuo, fei zhou shì yi piàn shén mì de tu dì?
"After a series of unsuccessful attempts, he has finally passed the driving test.",?????????,?????????????,jing guò lián xù ji cì de shi bài, ta zuì hòu zhong yú tong guò le jià shi kao shì?
"After asking off my office, I went to the hospital immediately.",?????????????????,qing jià lí kai bàn gong shì zhi hòu wo gan jin qù le yi yuàn?
"After being led by him, one innovation after another are showing.",?????,?????????????,zòng ta ling dao hòu, yi gè yòu yi gè gé xin xiàng mù chu xiàn le?
After breakfast he perused the newspapers.,???,????????,zao fàn hòu, ta dú le gè zhong bào zhi?
After her swim she dried herself with a towel.,???,?????????,yóu yong hòu, ta yòng máo jin ca gàn shen zi?
"After much delay, he finished his paper at last.",?????,?????????,tuo le nà me jiu, ta zhong yú wán chéng le lùn wén?
"After so much dry weather, the rain has been the farmer's salvation.",????????,???????????,tian qì gan hàn le zhè me jiu, zhè chang yu chéng le nóng mín de jiù xing?
"After the alien spacecraft had hovered over the park for a short time, it vanished.",????????????????????????????,nà zhi wài xing lái de yu zhòu fei chuán zài gong yuán shàng kong pán xuán le yi huìr zhi hòu jiù bù jiàn le?
After the play they called for the author to show himself.,"?????, ??????????????","yan wán xì zhi hòu,  ta men yao qiú zuó zhe chu lai huò dà jia jiàn miàn?"
"After their divorce, the father was awarded custody of the son.",????,????????,lí hun yi hòu, hái zi yóu fù qin jian hù?
"After these dry days, everyone hopes for rain.",???????,????????,gan zào de tian qì zhi hòu, rén rén dou xi wàng xià yu?
After walking for four hours we were beginning to flag.,?????????,???????,bù xíng le sì gè xiao shí yi hòu, wo men kai shi lèi le?
After working for fifteen hours I began to tire.,??????????,????????,gong zuò le shí wu gè xiao shí zhi hòu, wo kai shi gan dào lèi le?
Agriculture in this country has developed greatly after liberation.,???????????????????,jie fàng hòu zhè gè guó jia de nóng yè dé dào le jù dà de fa zhan?
"Ah, well, it take all kinds!",?,??,??????????,a, hào la, yí yàng bái mi yang bai yàng rén ma?
Alcoholics often suffer from periods of oblivion.,?????????????,yin jiu guò dù de rén cháng cháng shi qù jì yì?
All kinds of human experience testify to the close link between love and fear.,??????????????????????,rén lèi de zhong zhong jing yàn dou zhèng míng le ài yù pà zhi jian de jin mì lián xì?
All passengers are required to show their tickets.,????????????,suo you chéng kè dou bì xu chu shì ju piào?
All plants need water and light.,?????????????,suo you de zhí wù dou xu yào shui huò yáng guang?
All that heavy lifting has given me a pain in the back,"?????????, ??????.","wo yi zhí tái nà xie zhòng dong xi,  xiàn zài yao dou tòng le?"
All the applicants were interviewed one by one.,?????????????????,suo you de shen qing zhe yi gè jie zhe yi gè can jia miàn shì?
All the boys in the class want to go out with the pretty girl.,??????????????????????,ban li suo you de nán hái dou xiang péi zhè gè piào liang de nu:3 hái yi qi chu yóu?
All the female workers in this factory got a present on March 8.,???????????????????????,zhè jia gong chang de suo you nu:3 zhí gong zài san ba jié dou dé dào le yi fèn li wù?
All the goodness has been boiled off the vegetables.,?????????????????,zhè xie shu cài zhòng dì yíng yang bù fen quán dou ji zhu diào le?
All the lights flickered for a moment.,???????????,suo you de deng dou shan le yi huìr?
All the ships in the vicinity of the crash joined in the search for survivors.,??????????????????????????,zhuàng chuán shì gù fa sheng dì qu de suo you chuán zhi dou can jia le sou xún xìng cún zhe de gong zuò?
All the windows were bricked up.,????????????,suo you de chuang hu dou yòng zhuan du zhù le?
All this is totally unnecessary.,????????????,suo you zhè xie wán quán dou shì duo yú de?
All those who are immediately involved will be informed of the decision.,??????????????????,zhè gè jué dìng jiàng bèi tong zhi ji suo you zhí jie you guan de rén?
"Although many people opposed his plan, he engineered it through to final approval.",???????????,?????????????????,sui rán hen duo rén fan duì ta de jì huà, ta réng néng qiao miào de shè fa shi ta zuì hòu huò dé tong guò?
"Although our looks differ, we are both attractive.",????????,???????,jin guan wo liang xiàng mào bù tóng, dàn dou tao rén xi huan?
Altogether we caught ten golden monkeys.,??????10?????,wo men yí gòng zhuo dào0 zhi jin si hóu?
An airplane alighted on the airdrome.,??????????,yi jià fei ji zài ji chang zhuó lù?
An electric current in metal is caused by the movement of electrons.,???????????????,jin shu nèi diàn liú shì yóu diàn zi yùn dòng yin qi de?
Analyze the sentence into its constituent parts.,???????????????,ba zhè tiáo jù zi de gè ge chéng fèn jia yi fen xi?
"And now the scene shifts to the warehouse, where the murderer is lying in wait.",????????,??????????????,xiàn zài chang jing zhuàn dào cang kù, xìng xiong zhe zhèng mái fú zài nà li sì ji xíng dòng?
Another ten weeks three months altogether.,??10???,??3???,zài dai0 gè xing qi, yí gò3ng gè yuè?
Apostles were sent out by Christ to spread his teachings.,??????????????????,Ji du pài Ji du shí èr shi tú zhi yi xuan chuán ta de jiào yì?
Applicants will be notified of our decision in good season.,??????????????,wo men kuài ba jué dìng jí zao tong zhi shen qing zhe?
April is the time to plant trees.,?????????,sì yuè shì zhòng shù de shí hou?
Artillery was deployed in the west,???????.,pào bing bù shu zài xi bian?
"As a rule, it's the gentleman that holds out his hand to invite a lady to dance.","??, ??????????????","tong cháng,  shì nán shì shen chu shou lái yao qing nu:3 shì tiào wu?"
"As far as I am concerned, I'm not against your plan.",????,??????????,jiù wo ér yán, wo bìng bù fan duì ni de jì huà?
As he grew up he passed on his clothes to his younger brother.,????,??????????????,ta zhang dà le, chuan shèng xià de yi fu jiù ji le ta de dì di?
"As he had forgot his keys, he got into the house by the simple expedient of climbing through the window.",????????,?????????????????,ta yóu yú wàng le dài yào shi, pián yi jian dan de yìng jí bàn fa zòng chuang hu pá jìn wu li?
"As he turned the knob, the sound diminished.",?????,???????,ta yi zhuàn xuàn niu, sheng yin jiù biàn xiao le?
As I had plenty of money I was able to help her.,?????,?????,wo qián hen kuan yù, néng bang zhù ta?
"As long as you don't betray me, I'll do whatever you ask me to (do).",???????,??????????,zhi yào ni bù chu mài wo, yào wo zuò shén me wo dou yuàn yì?
"As they mature, many young radicals mellow into a more tolerant attitude towards life and society.",??????,?????????? ???????????????,suí zhe zhú jiàn chéng shú, xu duo nián qing de ji jìn fèn zi duì  sheng huó huò shè huì jiàn chí jiào wèi kuan róng de tài du?
Ask the doctor to prescribe something for that cough,????????.,qing yi sheng kai dian ké sou yào?
Astrologers claim to be able to divine what the stars hold in store for us,??????????.,zhàn xing jia sheng cheng néng yù zhi huò fú?
"At first she threatened to dismiss us all, but later she relented.",??????????????,???????????,qi chu ta wei xié yào jie gù wo men suo you de rén, dàn shì hòu lái ta tài du ruan huà le?
At last he successfully solved the problem.,????????????????,zuì hòu ta zhong yú chéng gong de jie jué le zhè gè wèn tí?
"At the end of the party, we thanked our host and went away.",?????,?????????????,yàn huì jié shù shí, wo men xiè le zhu rén hòu pián huí jia qù le?
"At the precise moment that I put my foot on the step, the bus started.",????????????????,??????,qià qià jiù zài wo deng shàng gong gòng qì che tà ban de shí hou, ju zi kai dòng le?
Athletic sports are good to the health.,?????????,ti yù yùn dòng you yì jiàn kang?
Baseball is more popular than any other sport in Japan.,???,???????????????,zài Rì ben, bàng qiú bì qí ta rèn hé yùn dòng dou shòu rén huan yíng?
Be careful of the dog; it sometimes bites people,"?????, ?????.","liú xin nà tiáo gou,  you shí hou yao rén?"
Before the examination we have a review of the term's work.,????,???????????,kao shì zhi qián, wo men fù xí yi xué qi de gong kè?
Being a parent can be hard work.,???????????,dàng fù mu ke shì jiàn xin ku de shì?
Ben is so short that he can not get at that book on the table.,"??????, ?????????","ban gè zi tài ai le,  ná bù dào zhuo zi shàng de shu?"
Beside your earlier work this piece seems rather disappointing,"?????????????, ??????.","zhè jiàn gong zuò tóng ni zao xian de gong zuò xiang bi,  you xie lìng rén shi wàng?"
Better late than never.,????????,chí dào zong bì bù dào hào?
Better luck next time.,????????,zhù ni xià yi cì hao yùn?
Black coffee leaves a bitter taste in the mouth,????????????????.,bù jia nai de ka fei zài zui li liú xià le yi xie ku wèi?
Boil the vegetables for 20 minutes and then drain off the water.,?????20??,???????,ba shu cài zhu shà2ng0 fen zhong, rán hòu ba shui lì diào?
Borrowing tapes from the library would be the next-best thing.,?????????????????,zòng zi liào kù jiè cí dài shì tuì ér qiú qí cì de bàn fa?
Both my sister and I like to wear jeans.,?????????????,wo jie jie huò wo dou xi huan chuan niú zai kù?
Brains are more than just education.,???????????,you tóu nao bù jin zhi shòu guò jiào yù?
Brazil exports a lot of coffee.,?????????,Ba xi chu kou dà liàng ka fei?
Bread is chiefly made of flour.,????????????,miàn bao zhu yào shì yóu miàn fen zuò chéng de?
Business is slack just now.,?????????,mù qián sheng yi xiao tiáo bù zhèn?
Businesses vied with each other to attract customers.,?????????????,gè shang xìng hù xiang jìng zheng yi zhao lan gù kè?
By definition the capital is the political and cultural center of a country.,"????,???????????????","gen jù dìng yì, shou du shì yi gè guó jia de zhèng zhì wén huà zhong xin?"
"By the time he is ten, he has outgrown his older brother.",??????????????????,ta shí suì de shí hou jiù yi jing zhang de bì ta ge ge gao le?
Cacti live in dry regions.,???????????,xian rén zhang sheng zhang zài gan hàn dì qu?
Candidates who fail to meet these requirements will not be admitted to the University.,??????????????????,bù fú hé zhè xie yao qiú de kao sheng bù néng shàng zhè suo dà xué?
Careful people usually put everything in good order.,???????????????,xì xin de rén zong shì ba dong xi fàng de hen zheng qí?
Cares preyed upon her health.,??????????,you lu:4 sun hài le ta de jiàn kang?
Cars and trolleys filled the streets.,????????????,qì che huò diàn che sè man le zheng tiáo jie?
Certainly they must know the probable result of such speeches.,??,??????????????????,wú yí, ta men yi dìng zhi dào zhè yàng jiang huà ke néng chan sheng de hòu guo?
"Certainly, if the weather is fine.",?????,?????,rú guo tian qì hào, dang rán ke yi?
Charles ruled England for 11 years.,????????11??,zha li yi shì tong zhì Ying guó11 nián?
Children like outdoor activities.,??????????,hái zi men xi huan hù wài huó dòng?
Children's shoes aren't cheap quite the reverse,????????--????.,ér tóng de xié bìng bù pián yi-- fan ér gèng guì?
China does a lot of trade with many countries.,???????????????,Zhong guó huò xu duo guó jia jìn xíng duo fang miàn mào yì?
China is a country rich in crude oil.,?????????????,Zhong guó shì yi gè yuán yóu feng fù de guó jia?
China is a developing country.,???????????,Zhong guó shì yi gè fa zhan Zhong guó jia?
China is an oriental country with a long history.,?????????????????,Zhong guó shì yi gè you zhe you jiu lì shi de dong fang guó jia?
Chinese children like to buy many firecrackers before the Spring Festival.,???????????????,Zhong guó hái zi kuài zài chun jié qián mai hen duo bian pào?
Chinese people are working hard to make the country richer and more beautiful.,??????????,?????????????,Zhong guó rén mín zhèng zài nu lì gong zuò, ba guó jia jiàn shè de gèng jia fù ráo mei lì?
Chopin aroused very complicated emotions in her.,?????????????????,xiào bang de yuè qu huàn qi le ta jí qí fù zá de gan qíng?
Christmas is a festival of the Christian Church.,???????????,Shèng dàn jié shì Ji du jiào de jié rì?
Christmas is an important feast for Christians.,????????????????,Shèng dàn jié shì Ji du jiào tú de yi gè zhòng yào jié rì?
Climbing plants with their bright flowers hung in cascades over the garden wall.,??????????????????????,kai chu xian yàn hua duo de pá téng zhí wù pù bù ban xuán guà zài hua yuán qiáng shàng?
Clouds are banking up.,???????,yún céng zhèng zài dui ji?
Color flags added to the gaiety of the festival.,???????????,cai qí zeng jia le jié rì de huan lè?
Come on over to have a try.,???????,ni guò lai shì shì kàn?
"Considering the smallness of the car, it is relatively roomy inside","???????, ???????.","biè kàn zhè liàng qì che xiao,  li miàn huán bi jiào kuan chang?"
Continuous assessment is made of all students' work.,?????????????????,duì quán ti xué sheng de gong kè zuò chu lián guàn xìng de píng dìng?
Cotton catches fire easily.,???????,mián hua róng yì zháo huo?
Crowds massed along the road where the king would pass.,???????????????,qún zhòng jù jí zài guó wáng yào jing guò de jie dào páng?
Cut the bread into small rounds and give me two.,???????,???????,ba miàn bao qiè chéng xiao piàn, rán hòu ji wo liang piàn?
Damn! I've lost my umbrella.,??!??????,Zaogao! Wo ba san diule.?
Despite all our efforts we still lost the game.,????????,??????????,jin guan wo men jìn le quán lì, wo men hái shì shu diào le bi sài?
Despite his cries no one came to his assistance.,???????,?????????,jin guan ta dà sheng han jiào, què méi you rén lái bang zhù ta?
Do keep quiet or you'll throw me out in my calculations.,????????,??????????,ni ke de an jìng dian er le, yào bu rán wo méi fa jì suàn le?
Do not fear; I will support you.,???,???????,biè dan xin, wo kuài zhi chí ni de?
Dockers started unloading the ship.,?????????,ma tóu gong rén kai shi xiè huò?
Doctor will have more lives to answer for in the next world than even we generals.,???????,???????????????????????,zài xi fang jí yuè shì jiè, dài fu men bì wo men dàng jiang jun de ke néng huán yào fù gèng duo rén mìng zhi zé ba?
"Dolly, all your things are in a muddle, tidy up your room.",??,????????,???????,duo lì, ni de dong xi luàn qi ba zao, shou shi shou shi fáng jian?
"Don't all sit together, spread yourselves out","???????, ????.","biè dou ji zài yi kuài er,  fen kai zuò ba?"
Don't all speak at the same time,??????.,dà jia biè tóng shí shuo?
Don't be so sensitive - I was not criticizing you.,?????,????????,biè nà me min gan, wo bú shì zài pi píng ni?
Don't bother.,??????,bù yòng má fan le?
"Don't cry, you are a big boy now.",??,???????????,biè ku, ni xiàn zài yi jing shì dà nán hái le?
Don't forget to bring your fishing tackle.,??????????,biè wàng le dài shàng ni de diào jù?
Don't forget to keep a careful tally of what you spend.,??????????????,biè wàng le zi xì jì xià ni de kai zhi zhàng mù?
Don't forget what I told you just now.,????????????,biè ba gang cái gen ni shuo de shì wàng le?
Don't laugh at him.,??????,bù yào cháo xiào ta?
Don't leave her waiting outside in the rain,??????????.,biè ràng ta zài wài bian yu zhong deng?
Don't let me down.,??????,biè ràng wo shi wàng?
Don't meddle with other men's business.,??????????,bù yào gan shè bié rén de shì qing?
Don't neglect to lock the door when you leave.,?????????,ni zou shí biè wàng le suo mén?
Don't pour hot water into the glass or it will crack.,??????????,???????,biè ba rè shui dào jìn bo li bei li, bù rán ta kuài zhà de?
Don't rake up the past.,????????????,bù yào ba guò qu de shì dou fan chu lai?
"Don't shout into my ears like that, I can hear you perfectly well.",?????????,??????,biè nà yàng duì wo dà sheng rang rang, wo néng tìng qing chu?
Don't stand on ceremony. I'm no stranger.,???,???????,biè kè qì, wo yòu bú shì wài rén?
Don't trample on the grass.,???????,bù yào jiàn tà cao dì?
"Don't trust him, he is a sly old fox.",????,??????????,biè xiang xìn ta, ta xiàng lao hú li yí yàng jiao huá?
Don't wear those clothes to work; try to look more professional!,?????????,?????????????,biè chuan zhè xie yi fu qù gong zuò, yào chuan de xiàng gè zhuan yè rén yuán de yàng zi?
Don't worry about a few mistakes; it'll all come out in the wash.,????????,??????????????,biè wèi ji ge cha cuò zháo jí, chí zao yi qiè du huì dé dào yuán man jie jué de?
Don't worry if the shoes seem a bit tight at first; the leather has plenty of give in it,"?????????????, ?????????.","zhè xié gang chuan shí yào shì you dian jin mò guan xi,  zhè zhong pí zi hen you yán zhan xìng?"
"Due to low investment, our industrial output has remained stagnant.",?????,??????????????,yóu yú tóu zi shào, wo men de gong yè sheng chan yi zhí tíng zhì bù qián?
Each side of a case in court has its own counsel.,??????????????????,fa tíng shàng yuán gào huò bèi gào shuang fang dou you gè zi de lu:4 shi?
Each student was issued with a textbook.,???????????,mei gè xué sheng fà le yi ben kè ben?
"Each time she moved her leg, she let out a moan.",???????,????????,mei cì ta dòng yi xià tui, jiù fa chu yi sheng shen yín?
Einstein was a great scientific genius.,??????????????,ài yin si tan shì gè wei dà de ke xué tian cái?
Either come in or go out.,????,?????,yào me jìn lái, yào me chu qù?
English is spoken all over the world today.,???????????,Ying yu xiàn zài tong yòng yú quán shì jiè?
"Even though I hadn't seen my classmate for many years, I recognized him immediately.",????????????,?????????,jí shi duo nián méi you kàn jiàn wo de tóng xué, wo ye ma shàng rèn chu le ta?
"Even though you do not like it, you must do it.",?????????,?????,jí shi ni bù xi huan zhè gong zuò, ni ye de zuò?
Every morning he spent two hours training for the race.,???????????????,ta mei tian zao chén hua liang gè xiao shí liàn xí sài pao?
Every mother has affection for her children.,???????????,mei gè mu qin dou ài ta de hái zi?
Every Saturday Jean went riding on the village common.,????????????????,mei zhou liù qín zài cun li de gong yòng cao dì shàng qí ma?
Every spring the river floods the valley.,????????????,mei nián chun tian hé shui ba shan gu yan mò?
Every time he phones I always seem to be in the bath,"???????, ?????????.","ta mei cì lái diàn huà shí,  wo hao xiàng zong shì zhèng zài xi zao?"
Every time Tom rolled over he pulled more of the bedclothes to his side.,???????????????????,tang mu mei cì zhuan shen dou ba bèi zi wàng ta nà bian zài la yi xie?
"Everybody can come to this school, without respect to class, race, or sex.",????,??,??,????????????,bù lùn jie jí, zhong zú, xìng bié, rén rén dou ke jìn zhè suo xué xiào shàng kè?
Everyone is doomed to die.,???????????,mei gè rén dou shì zhù dìng yào si de?
Everyone is the architect of his own fortune.,??????????????,mei gè rén dou shì zì ji mìng yùn de chuàng zào zhe?
Everything is ready now for the party.,??????????????,yàn huì de zhun bèi gong zuò xiàn zài dou yi jiù xù?
Everything will be OK.,???????,yi qiè du huì hao de?
Fashions have changed a lot since I was a little girl.,?????????????????????????,xiàn zài de shí zhuang huò wo hái shì xiao nu:3 hái shí hou liú xíng de yàng zi hen bù yí yàng le?
Father always takes a nap in the afternoon.,???????????,fù qin xià wu zong yào shuì gè wu jiào?
Father walks to his office every morning.,????????????,bà ba mei tian zao shang zou lù qù shàng ban?
"Father wanted to go to the country, but the children were whooping it up for the beach.",???????,????????????,fù qin xiang dào xiang xià qù, ke shì hái zi men chao zhuó yào qù hai bin?
Fever flushed his cheeks,???????.,ta fa shao man lian tong hóng?
Few people know Danish in our school.,????????????????,zài wo men xué xiào ji hu méi you rén dong de dan mài yù?
Financial problems have set back our building programme.,??????????????????,cái wù shàng chu xiàn wèn tí yán wù le wo men de jiàn shè jì huà?
"Fine, thanks.",??,???,hen hao, xiè xie?
Flakes of rust are falling from the old iron pan.,?????????????,yi piàn piàn de xiù zòng jiù tie guo shàng luò xià?
Flying across the Atlantic for the first time was a great achievement.,?????????????????,shou cì fei yuè dà xi yáng shì yí xiàng le bù qi de yè ji?
"Follow the main road until it branches, and then turn to the right.",???????,??????????,shùn zhuó zhè tiáo dà lù zou, zài lù de fèn chà kou xiàng yòu guai?
Follow the text while I read it out to you,"????, ??????.","kàn kè wén,  tìng wo ji ni lang dú?"
Footsteps announced his return.,?????,????????,ting dào jiao bù sheng, jiù zhi dào ta huí lai le?
"For safety's sake, don't drive more than 30 kilometers per hour in the city.",??????,????????????????,wèi le an quán qi xiàn, zài shì nèi kai che shí sù bù yào chao guò san shí gong li?
Friday afternoons are left free for revision.,??????????????,liú chu xing qi wu xià wu de shí jian zuò fù xí?
Frightened children were calling for their mothers.,?????????????,shòu jing de hái zi men hu han zhao ma ma?
From a sky of untarnished blue the sun beamed down upon Beijing.,???????????????,yáng guang tòu guò Wàn Li bì kòng zhào yào zhuó Bei jing chéng?
From our perch up there on top of the cliff we can see the whole town.,???????????????????,wo men zòng xuán yá ding shàng de gao chù néng kàn dào chéng shì de quán jing?
Further information can be obtained from our head office.,???????????????,xiáng xì de zi liào ke zòng wo men de zong bù dé dào?
Give her the book.,???????,ba zhè ben shu ji ta?
Give my best to your family.,??????????,dài wo xiàng ni men quán jia wèn hao?
Give my love to your kids.,?????????,xiàng ni de hái zi men wèn hao?
Give the bottle a couple of shakes before pouring the juice.,????,????????,dào guo zhi qián, xian ba píng zi yáo ji xià?
Give the sheets a good boil to get them white.,????????,????????,ba bèi shàn hao hao zhu yi zhu, hào ràng ta men bái yi xie?
Good fruit is scarce in winter and costs a lot.,??????????,???????,hao de shui guo dong tian nán dé xiàn dào, ér qie jià gé áng guì?
"Good-bye, and have a nice journey.",??,?????,zài jiàn, lu:3 tú yú kuài?
Good-bye. Nice seeing you.,???,???????,zài jiàn le, hen gao xìng xiàn dào ni?
Government has decreed a paper currency.,???????????????,zhèng fu ban bù le fa xíng yi zhòng zhi bì de fa lìng?
Graphite is used in making lead pencils.,???????????,shí mò cháng bèi yòng lái zuò chéng qian bi?
Greece is located in the south of Europe.,?????????,xi là wèi yú ou zhou nán bù?
Green apples are sour.,??????????,wèi chéng shú de píng guo shì suan de?
Greyhound can run very fast.,???????,hui gou pao de hen kuài?
Gull flies over the sea.,?????????,hai ou zài dà hai shàng fei xiáng?
Half the car was damaged.,???????,ju zi hui le yi bàn?
Harboring criminals is an offence in law.,?????????,wo cáng zuì fàn shì fàn fa de?
"Has limp, weak handshake.",????????,wò shou shí ruan ruò wú lì?
Haven't seen you for ages.,??????,hao jiu bù jiàn le?
Haymaking is hungry work,"?????????, ???????.","ge cao liàng shài de huór hen lèi,  gàn yi huìr jiù è le?"
He affected not to hear me.,?????????,ta jia zhuang méi you ting jiàn wo?
He also tells me that your attendance at his tutorial and seminar have been poor.,?????????????????????,ta huán gào su wo shuo ni de fu dao kè huò tao lùn kè chu qín shuài bù gao?
He always bemoans the shortage of funds for research.,????????????,ta zong shì tàn xí yán jiu jing fèi bù zú?
He always shows a doleful expression.,???????????,ta zong shì lù chu you yù de biao qíng?
He always takes a wine gourd.,??????????,ta cháng dài zhuó yi gè jiu hú lú?
He arrived at the most opportune moment.,???????????,ta zài zuì shì dàng de shí hou dào dá?
He arrived yesterday.,???????,ta zuó tian dào dá de?
He asked me to marry him but I refused.,?????,??????,ta xiàng wo qiú hun, dàn wo jù jué le?
He asked the carter if he had been there before.,??????????????,ta wèn ma che fu yi qián shì fou qù guò nà li?
He asked us to assist him in carrying through his plan.,??????????????,ta qing qiú wo men bang ta wán chéng ta de jì huà?
He bearded his boss and demanded an explanation.,???????,?????????,ta gong rán miè shì shàng si, bìng yao qiú ta zuò chu jie shì?
He became a construction worker after he left school.,?????,??????????,lí kai xué xiào hòu, ta chéng wéi yi míng jiàn zhù gong rén?
He began to weary of the work.,???????????,ta kai shi duì gong zuò gan dào yàn juàn?
